index,Bacteria;Bacteroidota;Bacteroidia,Bacteria;Firmicutes;Clostridia,Bacteria;;,Bacteria;Proteobacteria;Gammaproteobacteria,Bacteria;Proteobacteria;Alphaproteobacteria,Bacteria;Deferribacterota;Deferribacteres,Bacteria;Firmicutes;Bacilli,Bacteria;Actinobacteriota;Coriobacteriia,Bacteria;Firmicutes;Negativicutes,Bacteria;Spirochaetota;Spirochaetia,Bacteria;Cyanobacteria;Vampirivibrionia,Bacteria;Desulfobacterota;Desulfovibrionia,Bacteria;Firmicutes;,Bacteria;Campylobacterota;Campylobacteria,Bacteria;Verrucomicrobiota;Verrucomicrobiae,;;,Bacteria;Actinobacteriota;Actinobacteria,Bacteria;Elusimicrobiota;Elusimicrobia,Bacteria;Patescibacteria;Saccharimonadia,Bacteria;Bdellovibrionota;Bdellovibrionia,Bacteria;Actinobacteriota;Thermoleophilia
HB,0.6028504595069909,0.2862713741119395,0.00780561738210417,3.8040685028684202,0.000753407922847926,0.0,0.23226497078178013,0.00428477682214522,0.007363224492045418,4.6028456034154904e-05,0.0,0.004966043715091909,3.097747030961764e-05,0.008583880276486995,0.03726119194099287,0.0031528474756479423,7.933064187472922e-05,1.5894587098363652e-05,0.0002014715481879649,0.0,0.0
N,1.7587435107728127,0.5641263176241554,0.0005918246682762422,1.009897797216883,0.0005029371987228118,6.785555781814203e-05,0.4027669737236469,0.010305794098051897,0.00348963574842732,7.629537052473829e-05,0.0001661196976657789,0.005952594784752129,0.0001234642087762318,0.012788994635744485,1.2294037982005217,0.0,0.00044909351534273454,5.411304214504099e-05,0.0004585031603366535,1.665806000233213e-05,1.7718715393134e-05
