index,Bacteria;Bacteroidota,Bacteria;Firmicutes,Bacteria;,Bacteria;Proteobacteria,Bacteria;Deferribacterota,Bacteria;Actinobacteriota,Bacteria;Spirochaetota,Bacteria;Cyanobacteria,Bacteria;Desulfobacterota,Bacteria;Campylobacterota,Bacteria;Verrucomicrobiota,;,Bacteria;Elusimicrobiota,Bacteria;Patescibacteria,Bacteria;Bdellovibrionota
HB,0.6028504595069909,0.5259305468560748,0.00780561738210417,3.804821910791267,0.0,0.004364107464019949,4.6028456034154904e-05,0.0,0.004966043715091909,0.008583880276486995,0.03726119194099287,0.0031528474756479423,1.5894587098363652e-05,0.0002014715481879649,0.0
N,1.7587435107728127,0.9705063913050052,0.0005918246682762422,1.0104007344156059,6.785555781814203e-05,0.010772606328787765,7.629537052473829e-05,0.0001661196976657789,0.005952594784752129,0.012788994635744485,1.2294037982005217,0.0,5.411304214504099e-05,0.0004585031603366535,1.665806000233213e-05
