rank	taxid	taxon	taxonomy_rank	taxonomy_standard	D	P	C	O	F	G	taxon_taxid
G	45431	Eisenbergiella	R__root;D__Bacteria;P__Firmicutes;C__Clostridia;O__Lachnospirales;F__Lachnospiraceae;G__Eisenbergiella	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Eisenbergiella	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Eisenbergiella	Eisenbergiella (taxid 45431)
G	45435	Fusicatenibacter	R__root;D__Bacteria;P__Firmicutes;C__Clostridia;O__Lachnospirales;F__Lachnospiraceae;G__Fusicatenibacter	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Fusicatenibacter	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Fusicatenibacter	Fusicatenibacter (taxid 45435)
G	45423	Butyrivibrio	R__root;D__Bacteria;P__Firmicutes;C__Clostridia;O__Lachnospirales;F__Lachnospiraceae;G__Butyrivibrio	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Butyrivibrio	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Butyrivibrio	Butyrivibrio (taxid 45423)
G	45438	Herbinix	R__root;D__Bacteria;P__Firmicutes;C__Clostridia;O__Lachnospirales;F__Lachnospiraceae;G__Herbinix	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Herbinix	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Herbinix	Herbinix (taxid 45438)
G	45411	A2	R__root;D__Bacteria;P__Firmicutes;C__Clostridia;O__Lachnospirales;F__Lachnospiraceae;G__A2	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;A2	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	A2	A2 (taxid 45411)
G	45416	Agathobacter	R__root;D__Bacteria;P__Firmicutes;C__Clostridia;O__Lachnospirales;F__Lachnospiraceae;G__Agathobacter	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Agathobacter	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Agathobacter	Agathobacter (taxid 45416)
G	45475	Robinsoniella	R__root;D__Bacteria;P__Firmicutes;C__Clostridia;O__Lachnospirales;F__Lachnospiraceae;G__Robinsoniella	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Robinsoniella	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Robinsoniella	Robinsoniella (taxid 45475)
G	45486	[Acetivibrio] ethanolgignens group	R__root;D__Bacteria;P__Firmicutes;C__Clostridia;O__Lachnospirales;F__Lachnospiraceae;G__[Acetivibrio] ethanolgignens group	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;[Acetivibrio] ethanolgignens group	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	[Acetivibrio] ethanolgignens group	[Acetivibrio] ethanolgignens group (taxid 45486)
G	45490	[Eubacterium] fissicatena group	R__root;D__Bacteria;P__Firmicutes;C__Clostridia;O__Lachnospirales;F__Lachnospiraceae;G__[Eubacterium] fissicatena group	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;[Eubacterium] fissicatena group	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	[Eubacterium] fissicatena group	[Eubacterium] fissicatena group (taxid 45490)
G	45496	[Ruminococcus] gauvreauii group	R__root;D__Bacteria;P__Firmicutes;C__Clostridia;O__Lachnospirales;F__Lachnospiraceae;G__[Ruminococcus] gauvreauii group	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;[Ruminococcus] gauvreauii group	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	[Ruminococcus] gauvreauii group	[Ruminococcus] gauvreauii group (taxid 45496)
G	45452	Lachnospiraceae ND3007 group	R__root;D__Bacteria;P__Firmicutes;C__Clostridia;O__Lachnospirales;F__Lachnospiraceae;G__Lachnospiraceae ND3007 group	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Lachnospiraceae ND3007 group	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Lachnospiraceae ND3007 group	Lachnospiraceae ND3007 group (taxid 45452)
