id	clr	W
;;;;	3.0486404845782946	0
Bacteria;;;;	3.246248255908513	0
Bacteria;Actinobacteriota;Actinobacteria;Bifidobacteriales;Bifidobacteriaceae	-0.3413371803835168	1
Bacteria;Actinobacteriota;Actinobacteria;Corynebacteriales;Corynebacteriaceae	-0.6185960526074945	0
Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Brevibacteriaceae	-0.4532603379706015	0
Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Micrococcaceae	-0.3413371803835168	1
Bacteria;Actinobacteriota;Actinobacteria;Propionibacteriales;Propionibacteriaceae	-0.5651834955576858	0
Bacteria;Actinobacteriota;Coriobacteriia;Coriobacteriales;	-0.01944959789669687	0
Bacteria;Actinobacteriota;Coriobacteriia;Coriobacteriales;Atopobiaceae	-0.5018251740503118	2
Bacteria;Actinobacteriota;Coriobacteriia;Coriobacteriales;Eggerthellaceae	-1.0146300689515235	2
Bacteria;Actinobacteriota;Thermoleophilia;Solirubrobacterales;Solirubrobacteraceae	-0.2838007658931607	1
Bacteria;Bacteroidota;Bacteroidia;;	-0.2027077442715277	2
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;	-0.9482724470335261	0
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae	-0.9249096120777116	2
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidales RF16 group	0.4841889275875968	0
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Barnesiellaceae	-0.4670589122679918	0
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;F082	-0.42243020200514936	1
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Marinifilaceae	1.039843161683046	0
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Muribaculaceae	-0.24741775363841878	2
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Porphyromonadaceae	0.45849724975749684	0
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae	0.9185820176085979	0
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Rikenellaceae	-0.4700159620238771	2
