	W	Reject null hypothesis
Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae	31	True
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;p-2534-18B5 gut group	23	True
Bacteria;Bacteroidota;Bacteroidia;;	2	False
Bacteria;Firmicutes;Clostridia;Clostridia UCG-014;	2	False
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae	2	False
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Rikenellaceae	2	False
Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Anaerovoracaceae	2	False
Bacteria;Actinobacteriota;Coriobacteriia;Coriobacteriales;Eggerthellaceae	2	False
Bacteria;Firmicutes;Clostridia;Oscillospirales;UCG-010	2	False
Bacteria;Firmicutes;Clostridia;Lachnospirales;Defluviitaleaceae	2	False
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae	2	False
Bacteria;Firmicutes;Clostridia;Clostridia vadinBB60 group;	2	False
Bacteria;Actinobacteriota;Coriobacteriia;Coriobacteriales;Atopobiaceae	2	False
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Muribaculaceae	2	False
Bacteria;Firmicutes;Clostridia;Oscillospirales;Butyricicoccaceae	2	False
Bacteria;Firmicutes;Clostridia;Oscillospirales;Oscillospiraceae	2	False
Bacteria;Firmicutes;Clostridia;Oscillospirales;Ruminococcaceae	2	False
Bacteria;Verrucomicrobiota;Verrucomicrobiae;Verrucomicrobiales;Akkermansiaceae	2	False
Bacteria;Firmicutes;Clostridia;;	1	False
Bacteria;Bdellovibrionota;Bdellovibrionia;Bacteriovoracales;Bacteriovoracaceae	1	False
Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae	1	False
Bacteria;Proteobacteria;Gammaproteobacteria;Salinisphaerales;Solimonadaceae	1	False
Bacteria;Firmicutes;Clostridia;Oscillospirales;	1	False
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;F082	1	False
Bacteria;Firmicutes;Bacilli;Erysipelotrichales;Erysipelotrichaceae	1	False
Bacteria;Actinobacteriota;Actinobacteria;Bifidobacteriales;Bifidobacteriaceae	1	False
Bacteria;Firmicutes;Clostridia;Peptococcales;Peptococcaceae	1	False
Bacteria;Firmicutes;Bacilli;;	1	False
Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae	1	False
Bacteria;Firmicutes;Bacilli;Lactobacillales;Enterococcaceae	1	False
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Xanthobacteraceae	1	False
Bacteria;Actinobacteriota;Thermoleophilia;Solirubrobacterales;Solirubrobacteraceae	1	False
Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Micrococcaceae	1	False
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Tannerellaceae	1	False
Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;	1	False
Bacteria;Deferribacterota;Deferribacteres;Deferribacterales;Deferribacteraceae	1	False
Bacteria;Elusimicrobiota;Elusimicrobia;Elusimicrobiales;Elusimicrobiaceae	0	False
Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae	0	False
Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;	0	False
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;	0	False
Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales;Caulobacteraceae	0	False
Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Pasteurellaceae	0	False
Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Alteromonadaceae	0	False
Bacteria;Actinobacteriota;Actinobacteria;Corynebacteriales;Corynebacteriaceae	0	False
Bacteria;Firmicutes;Bacilli;Lactobacillales;Aerococcaceae	0	False
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae	0	False
Bacteria;Proteobacteria;Alphaproteobacteria;Paracaedibacterales;Paracaedibacteraceae	0	False
Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Alcaligenaceae	0	False
Bacteria;Actinobacteriota;Actinobacteria;Propionibacteriales;Propionibacteriaceae	0	False
Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Halomonadaceae	0	False
Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Thioglobaceae	0	False
Bacteria;Firmicutes;Bacilli;Lactobacillales;	0	False
Bacteria;Actinobacteriota;Coriobacteriia;Coriobacteriales;	0	False
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Rs-E47 termite group	0	False
Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Morganellaceae	0	False
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Barnesiellaceae	0	False
Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Neisseriaceae	0	False
Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Weeksellaceae	0	False
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae	0	False
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Porphyromonadaceae	0	False
Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae	0	False
Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Peptostreptococcaceae	0	False
Bacteria;Proteobacteria;Gammaproteobacteria;MBMPE27;	0	False
Bacteria;Patescibacteria;Saccharimonadia;Saccharimonadales;Saccharimonadaceae	0	False
Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Brevibacteriaceae	0	False
