Percentile	0.0	25.0	50.0	75.0	100.0	0.0	25.0	50.0	75.0	100.0
Group	HB	HB	HB	HB	HB	N	N	N	N	N
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae	703.0	999.0	2081.0	3079.0	3183.0	105.0	222.0	404.0	2846.0	3927.0
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae	2718.0	3395.0	4563.0	5301.0	7437.0	6880.0	7172.0	7393.0	8554.0	15227.0
Bacteria;;;;	9.0	116.0	132.0	342.0	436.0	1.0	2.0	3.0	3.0	74.0
Bacteria;Firmicutes;Clostridia;Oscillospirales;Ruminococcaceae	185.0	201.0	376.0	416.0	470.0	241.0	421.0	674.0	889.0	910.0
Bacteria;Firmicutes;Clostridia;Oscillospirales;Oscillospiraceae	742.0	820.0	1038.0	1070.0	1327.0	949.0	1781.0	2380.0	2521.0	3285.0
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Tannerellaceae	1936.0	3162.0	3463.0	5937.0	6574.0	5854.0	17421.0	30252.0	41715.0	42409.0
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Muribaculaceae	1918.0	3877.0	6422.0	6820.0	7184.0	3893.0	4351.0	6331.0	6931.0	7873.0
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;p-2534-18B5 gut group	4.0	8.0	10.0	13.0	14.0	1.0	1.0	1.0	1.0	3.0
Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;	1.0	1.0	1.0	1.0	3.0	1.0	1.0	1.0	1.0	1.0
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Beijerinckiaceae	1.0	1.0	4.0	4.0	4.0	1.0	1.0	1.0	1.0	5.0
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae	1052.0	2569.0	2698.0	2813.0	3914.0	3533.0	5141.0	6747.0	6928.0	6998.0
Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae	81903.0	83247.0	92845.0	95943.0	119139.0	14757.0	19521.0	19966.0	19988.0	21885.0
