sample	DADA2_input	filtered	denoisedF	denoisedR	merged	nonchim	input_tax_filter	filtered_tax_filter	lost	retained_percent	lost_percent
HB1	165482	145619	143765	143373	133234	124090	124090	124087	3	99.9975823998711	0.00241760012893621
HB2	159588	141193	139881	139043	131972	125829	125829	125829	0	100	0
HB3	173854	151844	150529	149965	142202	127838	127838	127838	0	100	0
HB4	179181	159600	158136	157330	149257	145001	145001	145001	0	100	0
HB5	166848	147529	146065	145433	137085	130898	130898	130898	0	100	0
N1	180199	157968	155811	154716	141113	121855	121855	121855	0	100	0
N2	179283	157748	154491	154458	134943	112880	112880	112875	5	99.9955705173636	0.00442948263642506
N3	184944	162564	160608	159993	148114	133048	133048	133048	0	100	0
N4	160836	141927	140566	140158	131455	120062	120062	120062	0	100	0
N5	165354	146217	143663	142921	128211	110879	110879	110879	0	100	0
