	W	Reject null hypothesis
Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia-Shigella	57	True
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;p-2534-18B5 gut group;	33	True
Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Klebsiella	16	False
Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Anaerovoracaceae;Family XIII UCG-001	5	False
Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Ligilactobacillus	3	False
Bacteria;Firmicutes;Clostridia;Oscillospirales;Oscillospiraceae;	3	False
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Lachnospiraceae NK4A136 group	2	False
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Lachnospiraceae UCG-006	2	False
Bacteria;Firmicutes;Clostridia;Clostridia UCG-014;;	2	False
Bacteria;Firmicutes;Bacilli;Erysipelotrichales;Erysipelotrichaceae;	2	False
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotellaceae UCG-001	2	False
Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Anaerovoracaceae;[Eubacterium] nodatum group	2	False
Bacteria;Bacteroidota;Bacteroidia;;;	2	False
Bacteria;Firmicutes;Negativicutes;Veillonellales-Selenomonadales;Selenomonadaceae;Anaerovibrio	2	False
Bacteria;Firmicutes;Bacilli;Staphylococcales;Staphylococcaceae;Aliicoccus	2	False
Bacteria;Verrucomicrobiota;Verrucomicrobiae;Verrucomicrobiales;Akkermansiaceae;Akkermansia	2	False
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides	2	False
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Tyzzerella	2	False
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Lachnospiraceae NK4B4 group	2	False
Bacteria;Firmicutes;Clostridia;Oscillospirales;Oscillospiraceae;Oscillibacter	2	False
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;	2	False
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Xanthobacteraceae;Afipia	2	False
Bacteria;Firmicutes;Clostridia;Oscillospirales;Ruminococcaceae;	2	False
Bacteria;Firmicutes;Clostridia;Clostridia vadinBB60 group;;	1	False
Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;	1	False
Bacteria;Bdellovibrionota;Bdellovibrionia;Bacteriovoracales;Bacteriovoracaceae;Bacteriovorax	1	False
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Gemmobacter	1	False
Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Alcaligenaceae;Paenalcaligenes	1	False
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;28-4	1	False
Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Pasteurellaceae;	1	False
Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Anaerovoracaceae;Anaerovorax	1	False
Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Neisseriaceae;Neisseria	1	False
Bacteria;Firmicutes;Clostridia;Oscillospirales;Oscillospiraceae;Intestinimonas	1	False
Bacteria;Firmicutes;Clostridia;Oscillospirales;;	1	False
Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;HT002	1	False
Bacteria;Firmicutes;Clostridia;Peptococcales;Peptococcaceae;	1	False
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Lachnoclostridium	1	False
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Tuzzerella	1	False
Bacteria;Proteobacteria;Alphaproteobacteria;Paracaedibacterales;Paracaedibacteraceae;	1	False
Bacteria;Firmicutes;Clostridia;Oscillospirales;Ruminococcaceae;Anaerotruncus	1	False
Bacteria;Firmicutes;Bacilli;Lactobacillales;Aerococcaceae;Aerococcus	1	False
Bacteria;Firmicutes;Bacilli;;;	1	False
Bacteria;Actinobacteriota;Actinobacteria;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium	1	False
Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Anaerovoracaceae;	1	False
Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;;	1	False
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella_7	1	False
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Lachnospiraceae NC2004 group	1	False
Bacteria;Firmicutes;Clostridia;Oscillospirales;Butyricicoccaceae;Butyricicoccus	1	False
Bacteria;Proteobacteria;Gammaproteobacteria;Salinisphaerales;Solimonadaceae;Nevskia	1	False
