Percentile	0.0	25.0	50.0	75.0	100.0	0.0	25.0	50.0	75.0	100.0
Group	HB	HB	HB	HB	HB	N	N	N	N	N
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella_9	165.0	175.0	514.0	647.0	665.0	1.0	1.0	51.0	737.0	1002.0
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Lachnospiraceae NK4A136 group	994.0	1286.0	1508.0	1703.0	2124.0	2195.0	2222.0	2669.0	2727.0	4920.0
Bacteria;;;;;	9.0	116.0	132.0	342.0	436.0	1.0	2.0	3.0	3.0	74.0
Bacteria;Firmicutes;Clostridia;Oscillospirales;Ruminococcaceae;Negativibacillus	1.0	1.0	1.0	6.0	8.0	1.0	10.0	12.0	23.0	43.0
Bacteria;Firmicutes;Clostridia;Oscillospirales;Oscillospiraceae;Oscillibacter	95.0	115.0	138.0	177.0	218.0	186.0	201.0	410.0	420.0	772.0
Bacteria;Firmicutes;Clostridia;Oscillospirales;Ruminococcaceae;Harryflintia	1.0	1.0	1.0	1.0	5.0	1.0	1.0	1.0	5.0	12.0
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Roseburia	216.0	346.0	379.0	428.0	531.0	164.0	204.0	401.0	577.0	854.0
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Tannerellaceae;Parabacteroides	1936.0	3162.0	3463.0	5937.0	6574.0	5854.0	17421.0	30252.0	41715.0	42406.0
Bacteria;Firmicutes;Clostridia;Oscillospirales;Oscillospiraceae;	214.0	226.0	262.0	288.0	307.0	391.0	504.0	536.0	669.0	753.0
Bacteria;Firmicutes;Clostridia;Oscillospirales;Ruminococcaceae;	31.0	32.0	52.0	59.0	69.0	57.0	67.0	132.0	174.0	184.0
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Muribaculaceae;	1918.0	3816.0	6243.0	6820.0	7036.0	3853.0	4309.0	6256.0	6799.0	7873.0
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;	775.0	956.0	1189.0	1399.0	1611.0	1723.0	2006.0	2022.0	2658.0	4308.0
