pathway	HB1	HB2	HB3	HB4	HB5	N1	N2	N3	N4	N5
PWY-5347	44598.66906925299	40203.07250208379	44305.31073829648	42714.46006825221	43737.40203234853	43758.690344263996	37769.05261675417	41534.07691576124	37441.3648551396	28954.085854952395
PWY-5384	23862.09129608867	26411.92749809143	23444.9741391324	32641.50005289466	27470.87287584845	21101.241299572892	14747.458200347257	36585.965552569236	26600.66198062083	34123.28686602426
PWY-5392	0.0	0.0	0.0	0.0	0.0	0.0	6.997150416122515	0.0	0.0	0.0
PWY-5415	247.38659435721266	1789.7857557419181	2103.3392549024934	2339.3760938661876	3854.3375713981814	2759.959831786597	1890.9766920083575	2493.4595844820487	2165.973329194487	984.2999580662453
PWY-5417	12738.474397881111	14882.5213498146	6263.848130675421	18556.558551632323	15057.31908353368	1634.0080571737478	342.929497779361	3796.703688942127	1254.5698528871862	1027.7950475488626
PWY-5419	8.74337197563852	128.15077799955375	266.2740326162134	113.21224824182397	166.31210591989102	184.42937638963835	0.0	228.8972302387811	136.02674573322787	9.948211913697573
PWY-5420	15.294707802471173	223.05644754863224	452.24386431449176	197.36932324756677	289.05530695741146	309.72501299449226	0.0	379.3320399576271	229.66185704835644	17.361262640163254
PWY-5430	6.2710269313559905	209.11719990928262	426.45683345788336	189.74930988828905	363.0565202842082	281.5563823624205	0.0	355.66213745304606	208.7203551045661	8.299342183282088
PWY-5431	12738.474397881111	14882.5213498146	6263.848130675421	18556.558551632323	15057.31908353368	1634.0080571737478	342.929497779361	3796.703688942127	1254.5698528871862	1027.7950475488626
PWY-5484	52786.43505927621	47054.21700459951	53212.962628999725	51123.509901768775	58257.47980048809	87582.12706070284	79794.4562298465	75319.63632391553	72349.28820485208	59982.5237102302
PWY-5505	25859.587892950647	26536.786961999467	14749.846666639514	30154.1340979596	27299.401690145474	35454.944434229765	37896.884104436365	49884.14916233139	35959.18257477729	45958.82405076838
PWY-5507	1174.4400870991365	5995.1652336958	7589.741976931901	7409.066843126268	7779.380332410747	4537.766070822903	224.3541432227694	4950.592704866617	3319.8866598348795	128.3611142613119
PWY-5509	28666.458698657167	23307.432211284835	21996.196720177653	26372.587156838574	23685.548931807414	41029.71801867656	45065.47568071578	36141.08154281212	39988.48447966798	27698.13533388897
PWY-5529	0.0	10.028952276134959	10.48476059186406	0.0	10.219144804582196	8.868220474746229	0.0	0.0	0.0	0.0
PWY-5531	0.0	8.971546829097402	8.986469837178257	0.0	8.9751488233558	11.968747302800933	0.0	0.0	0.0	0.0
PWY-5532	113.56101960822257	41.59702930910036	139.61329908417838	47.34158266216494	47.99546119843599	89.86828708115733	21.382535624541752	146.9451002338961	71.38062833011328	10.79003222605927
PWY-5647	3.9635881652470815	0.0	17.730317615661942	0.0	0.0	0.0	0.0	0.0	3.269831083112787	0.0
PWY-5651	39.445186416164795	0.0	53.45556609930526	0.0	0.0	4.98569348996473	0.0	0.0	4.977519281227604	0.0
PWY-5654	3.3089254561742663	0.0	16.909865839563054	0.0	0.27953043219005186	0.0	0.0	0.0	3.8867744610786077	0.0
PWY-5655	8.983413853191365	0.0	36.304209180575086	0.0	0.0	0.0	0.0	0.0	5.897614350128038	0.0
PWY-5659	42321.66822471122	38196.54992488144	46302.875183713964	39200.2103209998	40075.2368119004	63375.345390059556	53617.5199131163	62569.79203037841	55861.397073084365	51137.34899389906
PWY-5667	53456.0231672765	42829.199241890674	54154.347322180576	44258.15496900221	49887.831739213296	86071.98656127058	82284.9854815937	79522.45065180362	71709.00751261	66742.5542250082
PWY-5676	13043.341494716013	5338.217217563722	13240.879448431862	9042.635842421123	9300.085799765744	16975.07204651031	13869.82958197601	13691.37829661997	5709.67605549574	11279.723868977633
PWY-5677	3182.184644218148	634.1733836581776	4198.25771374164	501.42980585198194	741.0568038177173	1779.520118739418	415.8205717897224	3432.6148604147547	1171.4858924056816	585.5548458788342
PWY-5686	49778.70879332568	40879.278916630465	50999.2720948723	43828.20648564306	49653.151068813866	84591.0508749839	78412.01672134425	78786.8448228333	70808.6485734988	64352.411013138815
PWY-5695	50918.82450580666	43082.82615491038	47858.38159371065	45497.73284533133	48574.317179605954	72343.43993957383	72780.53482579255	55384.366019155044	59205.06786014553	42608.8852626319
PWY-5705	15837.699522090568	18365.666705544685	4563.941215836601	22739.93397807831	18071.68164166876	3097.798495001537	3560.6063067053797	4536.150849609543	3217.101491689579	2914.1113757599965
PWY-5741	9.920844910586405	12.34000351197689	29.41325099289089	0.0	20.7753634308057	15.912431144338596	13.378172728464433	5.990602269458965	0.0	14.990329663679178
PWY-5747	396.43277477267884	863.983511311315	2084.3464335626377	977.1046150196837	1517.5670533088662	2244.8574175461827	1380.2665712570374	3721.4964207129774	2115.437795164621	674.3538549909101
PWY-5823	0.0	0.0	2.8781801883847367	0.0	1.23935016081476	0.0	0.0	0.0	0.0	0.0
PWY-5837	19627.772461081655	20424.39559561359	20103.903331038196	22739.43124529057	20757.964138364492	21755.71789150774	15796.386331388761	32504.56058496953	24560.171916839165	29335.16336914155
PWY-5838	27370.613648529605	26376.773133633906	29457.377783600812	26782.78215059839	27772.789873979807	38490.79485495545	30259.55416515631	45568.205952554184	39061.50522834221	38037.67051863202
PWY-5840	26367.996372099733	25311.775911101828	27722.47827172704	26342.1591795475	27283.321755411893	38128.14305532453	29915.421202312675	42638.350000670616	36556.15299949331	35455.28394294434
PWY-5845	26145.450667417168	25311.775911101828	27722.47827172704	26342.1591795475	26790.670351246557	28579.04182048075	25632.27827957704	28660.483129104472	28896.603699983993	24759.304199191894
PWY-5850	26145.450667417168	25311.775911101828	27722.47827172704	26342.1591795475	26790.670351246557	28579.04182048075	25632.27827957704	28660.483129104472	28896.603699983993	24759.304199191894
PWY-5855	19297.37795844361	20589.718295965864	20984.697918483642	24906.14955849603	21939.276663629786	12728.302020535244	11231.60988160856	14233.77090236563	13084.393628887678	9537.253471788827
PWY-5856	19297.37795844361	20589.718295965864	20984.697918483642	24906.14955849603	21939.276663629786	12728.302020535244	11231.60988160856	14233.77090236563	13084.393628887678	9537.253471788827
PWY-5857	19297.37795844361	20589.718295965864	20984.697918483642	24906.14955849603	21939.276663629786	12728.302020535244	11231.60988160856	14233.77090236563	13084.393628887678	9537.253471788827
PWY-5860	24022.743529616175	24053.383891884834	24829.171084342983	25585.667697973877	25357.783200124493	23497.160631723495	21193.8338318724	23480.91865381108	23976.494599724232	20797.017872707227
PWY-5861	25602.187161943937	25522.28008861607	26962.521373244672	26213.988138842233	26698.219232564585	34432.089130661596	26154.258451114554	43161.88580997367	35461.90073598257	37126.24622761973
PWY-5862	24022.743529616175	24053.383891884834	24829.171084342983	25585.667697973877	25357.783200124493	23497.160631723495	21193.8338318724	23480.91865381108	23976.494599724232	20797.017872707227
PWY-5863	20202.240689432507	20096.60242343106	20798.342539792455	21930.088275725422	21283.733785400986	23719.880847696404	17376.929231394373	34363.67299456364	26275.274258128364	30797.048190807705
PWY-5896	26145.450667417168	25311.775911101828	27722.47827172704	26342.1591795475	26790.670351246557	28579.04182048075	25632.27827957704	28660.483129104472	28896.603699983993	24759.304199191894
PWY-5897	26881.67120527585	26052.027244767556	28815.56513247087	26722.986171751814	27568.472780055337	37165.65583144178	28848.92866127	44752.91210877676	37894.925935479	37575.83814590063
PWY-5898	26881.67120527585	26052.027244767556	28815.56513247087	26722.986171751814	27568.472780055337	37165.65583144178	28848.92866127	44752.91210877676	37894.925935479	37575.83814590063
PWY-5899	26881.67120527585	26052.027244767556	28815.56513247087	26722.986171751814	27568.472780055337	37165.65583144178	28848.92866127	44752.91210877676	37894.925935479	37575.83814590063
PWY-5910	6564.867885125661	6785.223394296715	8568.92272741311	9157.065763954482	16486.37730882954	24152.774394049804	13791.090735888301	14330.224575582291	10565.129344787361	9308.821532782405
PWY-5913	33812.52926538114	32580.05994947453	38017.77997716765	33182.23034557351	33296.36872639946	62632.461288693325	61590.151585353764	62031.859794403215	61136.107355518354	49426.07947243395
PWY-5918	21700.989988355373	20490.20869917387	22334.379661769362	23123.98237625855	20980.330196451414	25085.02208329413	26330.94145372507	23567.57947507842	25639.26439441434	12627.098651158725
PWY-5920	10292.515322520469	9272.251533497467	13704.298505179657	5158.763830393793	7287.409445369956	15180.014429241219	15444.249506819866	15664.548954242511	16030.640616818746	7727.790238605775
PWY-5941	59.94117304919449	63.91698693928344	97.84325839712962	2.4798857073593514	51.95041733804922	0.9999890267811254	0.0	51.96836013133244	59.95586374193878	0.0
PWY-5971	37203.33165657409	37041.99050617494	45697.02729788272	42391.28215927179	41456.215614133114	32070.96478599315	26755.696142949055	34846.744250105265	28382.706284996446	20591.676653106377
PWY-5973	62335.43491482468	56559.25523343387	60956.64889798148	58948.10753470118	61218.12893094987	89165.91682754074	87867.3460984975	83006.80972367068	78658.1860252307	66432.3710792629
PWY-5989	30753.234568769847	31198.00523996866	41584.55792743542	34402.940761676844	32914.66138149742	23121.21736696762	19063.876687067303	25844.315842242355	20765.037912689528	14620.944686198078
PWY-6071	14903.710551595543	17092.225582039206	14867.361779394527	20648.42419090235	16999.948894991074	2603.831131648798	1905.46844372488	4229.012454701978	2596.5198374206734	1968.5953720059586
PWY-6121	47563.666813892465	39384.512116384336	48455.584353269216	38839.199025486436	44714.95965159147	80243.44052900274	77649.67681408956	77035.85080678976	68258.8231409771	63099.43560785278
PWY-6122	45322.30145898855	37091.54043563196	46006.28664291054	36242.165011232966	42361.12980095755	79049.47459156465	76655.55299122783	75808.90089876755	67179.01405678061	62664.3548617759
PWY-6123	43619.03894988627	35664.10443994278	44605.17992071521	34659.845753076595	39207.383366073474	72910.70298109337	70176.42207415978	68302.70960760294	62006.20967920964	56810.96337217066
PWY-6125	42524.50628068148	38890.99608831683	43709.528891561844	38816.53635894268	43455.133561760806	71597.57991377675	65461.84419186687	66558.92011656493	61851.81876381969	53840.28067203052
PWY-6126	52013.45544979304	41784.3945245423	53802.1481657639	44277.314998755086	50480.409248534925	86009.42903556583	80482.83792561549	77042.12880976763	70706.94334002749	62996.56543175506
PWY-6143	25.782621677094106	28.743112649976386	0.0	7.4418677371067075	8.922252542412917	37.77580182761414	0.0	0.0	0.0	25.36529728513639
PWY-6147	37211.7646926064	30711.004992981714	40064.458692571876	29062.43194511755	30336.530021843995	51106.4499480718	57449.97393016571	46556.0122373705	51853.95378004881	33069.66505981948
PWY-6151	40373.92962992896	33318.833232626544	40459.1628189154	37561.636719438924	40260.4494122251	48433.89079268739	40660.341719202304	36785.60512967626	28965.909515144092	29020.39425979234
PWY-6163	49062.943969754844	39955.90557958893	47099.8176218099	41610.51285453871	41395.63693493151	65072.78749990718	67549.56875097257	64356.50798811347	60461.37730805946	52842.98288692195
PWY-6182	12559.346334190848	14676.929425145416	6020.704017048463	18300.309447051524	14808.470918321973	1587.0378881714796	328.94911628202556	3640.311624566656	1211.9749052144116	1003.5886570203553
PWY-6185	12997.977514469809	15180.21828406388	6634.797572163483	18925.849718707796	15252.462460245684	1704.283551505559	365.58799301827395	3934.4317621712744	1317.7657453405532	1065.2979447013258
PWY-621	59268.87446836965	56596.6025063289	43415.72517355419	69986.37386103335	69013.131104094	63101.560747334	61492.55951665265	48506.62673416193	42975.90777279141	40926.57452291482
PWY-6210	2.085950334515845	0.0	16.909865839563054	0.0	0.0	0.0	0.0	0.0	3.8867744610786077	0.0
PWY-6263	1797.6949785222266	2581.2899593729226	2942.7405545636484	1977.3731195731793	2668.347142096437	4323.002778958505	3026.169258481555	3764.817662091703	3484.3072958090042	2461.2829721190033
PWY-6269	28861.988482452718	23500.09749419342	22207.285269491622	26536.007289739548	23858.905544394394	41745.05376984567	45389.59467670936	38259.55417454787	41087.56165843031	29229.52730192548
PWY-6277	45322.30145898855	37091.54043563196	46006.28664291054	36242.165011232966	42361.12980095755	79049.47459156465	76655.55299122783	75808.90089876755	67179.01405678061	62664.3548617759
PWY-6282	31042.865666402344	31764.652958586583	41457.43279569772	37150.37344927357	34465.633737685945	23175.400619294018	19065.62747450272	26069.555506936293	20792.280082381614	14752.505623991163
PWY-6317	37929.86516725716	31866.420875186956	37934.6107479304	36245.18671698038	41551.42586343984	62441.3730949343	57717.043828462454	48277.981920284234	43385.93111414735	40646.45414152063
PWY-6338	55.50015052585813	12.364533544491431	116.25968306641084	15.100058881522164	48.25047345821615	33.784665960122815	22.211286211770073	19.296666540321777	6.7755408156649946	0.0
PWY-6339	9721.094338638804	11085.507100229757	6283.823824464017	13629.990420191853	10876.083705493607	733.7559607712238	231.38295122422983	1097.6788336245036	596.4856175782332	768.3852002208628
PWY-6353	17630.960713050303	15837.435855612435	19817.201697498465	20267.73706419635	21108.654646299845	35274.52408582274	27883.755839404945	24937.254768924926	22247.14166703614	17977.041625564103
PWY-6383	4.659547725015392	0.0	0.0	0.0	5.999435884582962	17.99545864498785	0.0	57.59451928198082	2.9998007641865545	0.0
PWY-6385	45634.801333894386	36289.17080187333	46721.846230282725	38259.246285075904	44166.265555991304	75474.05032171612	72279.94194230114	60913.70832556306	59693.09388223201	47493.9079419565
PWY-6386	45649.017559695596	36093.153576359764	46650.90913270621	38016.727047852735	43691.04970677316	74650.9554616142	72491.57214802738	58401.37246292913	58466.09039745124	44966.983950275935
PWY-6387	46449.367568487556	36900.60721430421	47504.15707783768	38962.88175254485	45078.52317192543	76669.55935724196	73281.68990814408	62059.73352137159	60532.47475953253	48565.16833051647
PWY-6396	750.4037259606233	970.9349630340712	2166.9697202011407	1451.7226882110463	3227.5056790042768	3312.273032793333	468.65826850611523	5347.281553099746	1441.179307392002	376.37157586888605
PWY-6397	2.4312964436383644	0.0	0.0	0.0	0.0	0.0	0.0	17.687273569883963	1.6363599509119606	0.0
PWY-6467	27085.239999999998	26672.959999999995	29682.729999999996	23931.779999999995	24089.739999999998	42172.80999999999	40850.1	45898.38	45848.44	38181.12
PWY-6470	937.4378051367837	3720.5921782498694	4757.691812748725	4791.320787697694	8329.128334949697	17244.338875015637	9766.99354102211	10800.623281265722	8383.397261112339	4144.198264443407
PWY-6471	23714.844607349783	18729.22968089816	24061.31551100533	23902.681162326146	32157.400068271818	48381.537564054925	38696.93628318307	33825.60899223803	27391.901236995764	26638.696467616446
PWY-6478	3889.786886996506	1031.6951039379699	2582.145961677794	1939.6628272813227	3979.0218700597184	8589.217430507924	5854.352699244559	2947.740488123234	2173.824664026192	3385.957599091592
PWY-6505	5.193963407504066	0.0	30.287981907524863	0.0	0.0	0.0	0.0	0.0	5.897614350128038	0.0
PWY-6507	12050.233160122883	11047.640171644409	20499.93311507413	7384.851951235243	12763.852349697383	27366.689425621476	22181.843039822023	20460.4903649337	14349.701910038037	18927.41484446178
PWY-6519	31274.185267284854	31185.53624230392	38219.59142920433	33972.56409931846	33166.402509918626	27687.683633635195	22593.676568479623	29971.982991100147	23108.296745110965	18317.84208297555
PWY-6545	7928.647510097001	4389.305375848069	6376.5995416297765	4307.168161376311	6822.375147687919	11109.020665474334	9301.984829191713	6823.973370336183	4502.917440987574	8033.8430332961525
PWY-6562	14126.17318090918	13270.012237729745	15087.73064038695	9342.459255521779	12833.795714907668	1948.1392191626094	511.80091331215874	5931.097114141414	1623.006252010683	1718.7998893049828
PWY-6565	0.0	148.24988033599323	304.1866530856485	201.0086587891146	168.29076056446837	209.76113169593293	0.0	200.63947795582055	198.44439543129212	0.0
PWY-6572	2548.4525209046624	3052.6272315955807	1671.3484066291678	703.25303899649	3962.386650262606	7898.202966328058	4691.716777237755	3063.721704528488	1897.8931425634316	6302.980496910924
PWY-6588	18131.15425776235	4732.116424188987	15614.596627690787	6158.2243534917625	6996.41762431527	17686.713008285853	14398.404605716743	15873.885596841992	6984.722283356106	11772.191839308816
PWY-6590	15639.799967366514	7991.845775849186	15406.09223183409	8262.32636257375	9608.474664878198	20014.978335656335	17146.07365312921	15944.887728553336	9661.862597531912	13061.653211401122
PWY-6608	22712.19580419379	23400.85474452027	13823.724270192768	28647.364305065035	24890.240855842916	27317.51864367596	20309.8159401541	18574.36831313733	16164.694680184162	13276.050176655073
PWY-6609	49295.008670114665	42564.79953706113	41696.444274912225	49219.86158649328	49217.45336542925	68675.92513916017	66996.00790249817	50231.37187173987	52303.11421449608	39807.937070784326
PWY-6612	40623.42458380923	34057.520630061634	42904.589529987235	34114.00545732627	35730.275840925926	58923.53484239479	59815.27316723826	59348.44258478616	57748.1760147942	45826.751588580366
PWY-6628	43957.92626446765	36875.46349916469	43099.30873686077	39537.531895931286	37700.73029076379	43312.675331200415	45337.91909363733	44279.13729170185	41977.500448114806	34258.9727459892
PWY-6629	2593.2240989941906	4254.059411042158	4641.766706986184	2673.920364134318	3432.5950465189453	30800.457310108963	36531.298458052996	27199.65864721712	33993.850423781936	22274.588912318308
PWY-6630	41502.48175505216	34586.14933646721	40818.96834390502	37261.024541486535	35570.081878221754	41549.998680285615	43188.64612877433	43151.92404569728	39780.978403843925	33707.53209735864
PWY-6641	21.283510415572273	69.86079606613724	136.3306554009701	104.25670934359466	145.78399735810066	101.42648003940437	94.00023475225925	187.32870017520438	125.07045272887683	28.04243538184532
PWY-6690	11468.197317778	13308.71311565006	4107.409125048235	16555.373925491414	13120.481408670017	1598.3601899988666	1409.1655959602535	1782.0059699908682	1664.9013214451375	1388.1970616226163
PWY-6700	36861.36798702665	31481.5901907264	39375.33930565491	29160.197695551353	30970.802165029338	56368.05050790958	54503.07899722836	58319.864156534284	56076.695612023366	46914.999642227216
PWY-6703	31304.637559395862	27330.13656226903	33850.48146114358	24774.471983804106	26033.923528887193	44459.42139186772	43954.387053017635	49366.70282686388	47620.7750142281	39461.86682225357
PWY-6708	19297.37795844361	20589.718295965864	20984.697918483642	24906.14955849603	21939.276663629786	12728.302020535244	11231.60988160856	14233.77090236563	13084.393628887678	9537.253471788827
PWY-6713	0.0	0.0	7.493621882039957	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PWY-6728	37.335979274584744	52.189080215587225	356.2765642982543	0.0	81.90885064647554	59.7449590114899	57.57014363220568	22.464543792992156	0.0	57.26777456650814
PWY-6731	0.0	7.498709356207816	7.49876951530154	0.0	7.498813126982388	4.999450760923342	0.0	0.0	0.0	0.0
PWY-6737	44211.46010698263	35434.11462867188	44465.28508667439	38423.72291517198	39672.72934647297	70504.56483483245	69778.42628789952	64364.55774053079	60318.76093669701	56198.41651175434
PWY-6749	3444.6264780178612	4780.146412108243	3772.1630714510557	1828.6774292541184	4048.903611634781	10002.81138091993	7718.764802073416	10572.381791360704	5478.122553170869	7730.6702926413345
PWY-6876	60.61929711221288	205.43824499978038	454.85872522133747	273.7559587916392	619.2849570881735	377.811961307496	49.96795562125558	496.5679649987491	285.94473841463247	35.9751479907352
PWY-6891	20724.350580837432	19914.100633535207	20842.36443080623	23302.68640584691	21315.34860715106	12811.939829219134	12704.289403769848	11682.245527540405	12674.569327567655	11292.116724203226
PWY-6892	31630.47233361342	26239.146496160934	32749.49351168898	28465.991370301927	29303.806860662306	35686.05592101894	25903.767184479122	46720.08741420955	30410.197524735817	41292.41077339253
PWY-6895	30358.953994998905	27098.173030145677	32004.291253636155	26710.982094122017	27148.86665440995	32243.33687262041	31362.33843994592	31484.331375665304	31804.55200077023	27979.94641811537
PWY-6897	34447.9358048686	29824.726106017573	36878.28181964228	27998.700025003836	29505.066124762154	52613.58085676577	50077.97906945793	54417.47358215174	51379.38132182864	44487.62235712329
PWY-6901	36655.265737251575	37705.90910838767	39855.1854386558	40123.24171295584	42109.12903950787	57162.301717830276	55784.35282941446	45170.210475494416	49895.98370468737	29726.129216139674
PWY-6906	0.0	453.021454458675	857.1898973744728	475.7306199889181	857.0778113922552	567.5315603152835	0.0	658.2876582478586	649.9978183074485	0.0
PWY-6944	0.0	2.3903670210425494	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PWY-6969	44129.73368605551	41947.108068575864	45531.97329569076	40219.05832922026	41431.12791045433	66782.06534106759	66956.11814339532	69942.04558990069	67482.4329270024	54887.6777813775
PWY-7003	27881.45993822681	11249.563993897993	26016.58457146272	14237.862548078176	15661.978140707062	25019.398040435342	19410.561656142454	21172.392279185864	12602.330837765003	15185.303967361682
PWY-7007	4.659686065068846	0.0	0.0	0.0	0.0	5.999088656945018	0.0	27.642625951861152	2.999764556237728	0.0
PWY-7013	48866.0473168984	52729.57364162498	21098.49006610087	65320.498802663446	55752.30691579441	9698.795345859196	5855.34775771034	10161.358980930692	5106.291923644449	8481.335450298964
PWY-7090	1277.811664818884	666.3420958924132	968.0503817127251	470.73671208530993	612.1561220269057	1972.3453233220218	1668.0508806133469	1707.7450620434631	963.8514423785674	687.8557712422258
PWY-7094	2171.192286050392	5404.110904913905	11580.817122665432	6454.859369446264	8097.913711447873	7777.423670113307	253.08538380035955	14364.035962143715	5643.331443984024	157.78714250093182
PWY-7097	55.50015052585811	12.364533544491431	116.25968306641083	15.10005888152216	48.25047345821615	33.784665960122815	22.211286211770073	19.296666540321777	6.775540815664992	0.0
PWY-7098	62.41907885763403	13.909289955640046	130.6183283018361	16.98659822473581	54.2696344369462	37.91637612521094	24.863894290870075	21.699716548411683	7.617832451412031	0.0
PWY-7111	55828.27192776684	48433.356841302426	55082.12293413002	51106.645783394764	50861.257166653864	83072.91992688765	81177.1759835048	79406.79494767822	69827.6021134484	64947.252193575456
PWY-7159	0.0	8.971546829097402	8.986469837178257	0.0	8.9751488233558	11.968747302800933	0.0	0.0	0.0	0.0
PWY-7184	35111.404126296155	32950.923456124394	37312.58355943364	33023.90695513219	36625.878138923465	57371.19551727148	47284.420891164154	55107.63057866341	47894.85468557349	44320.57616875653
PWY-7187	35446.05754814172	30488.224291329378	36733.351966374335	31764.32821380447	36000.33499729613	58377.38071482379	49898.664926316276	53688.637911832615	47638.40831259223	43565.983175832705
PWY-7196	40446.02937703043	35756.26371820196	42506.37443743472	35322.76856295602	39836.219556517346	71957.49491883953	66649.29013335514	62679.99924067864	60283.086492615286	50951.98453582689
PWY-7197	30768.418271731447	30372.568088607335	32925.06356551786	28774.284266622846	32014.17978751163	56745.23516312873	51933.382984374955	55725.30125209906	52859.10199971572	45095.19532693118
PWY-7198	926.6095582951837	539.511766080426	553.8958203798609	1202.6432705766692	581.2064085163681	3499.57859445268	2251.179123125047	905.3200698013867	809.2596384632695	1583.627206128492
PWY-7199	32052.572983189122	27568.648026482937	33047.98996289832	29761.48711130412	32444.144853191243	48788.740076997026	41183.67776777482	35501.831522101245	33018.188800544005	28396.915891131055
PWY-7200	30443.506701189188	27925.74650565527	31928.06971203838	28909.69379454403	32273.863497197304	49738.03370932802	39665.243507522544	41916.03354027822	36067.6638720672	34184.760847358455
PWY-7208	51360.15507877839	41332.77868067664	53438.85457444335	43988.49683790388	52182.17385367365	91555.03143717338	83437.20303785594	80221.02052339127	73333.35148052844	65325.182653087664
PWY-7210	1306.9689493000124	765.2064743498523	785.6742051531944	1690.2666099196028	824.285959638095	4856.801331302543	3139.966989374679	1283.7344241921012	1146.925092463397	2226.743108699206
PWY-7211	36731.8166056009	33680.464619843355	38377.6619619006	34466.96708920826	36891.586881050265	53280.276259895414	44605.34937629396	57980.05992761242	49501.01788054425	47797.782422668395
PWY-7219	50410.725730615835	40492.51241856562	52820.933893572015	42499.501564439	48864.736616787406	86522.69449751725	80720.95926081752	78099.45956422416	70862.42403624418	64268.3957466874
PWY-722	14.748868839676454	357.6260002954025	622.5373746912306	430.88997601324724	647.7885155610032	588.9950411192887	10.437583892617448	616.1119903235683	390.60651032932367	0.0
PWY-7220	58350.75033018237	44923.46860349712	57755.87010952517	49571.33621714409	55612.36766273529	89698.44681797309	86101.0045975712	77806.4749547026	73433.70059221925	64038.490886987725
PWY-7221	48747.08725147812	40096.98774091981	47747.40844257999	42587.09954283694	48887.99402010887	78809.5474340561	72740.19540145405	70509.25556288683	63779.51630239702	57648.46898608713
PWY-7222	58350.75033018237	44923.46860349712	57755.87010952517	49571.33621714409	55612.36766273529	89698.44681797309	86101.0045975712	77806.4749547026	73433.70059221925	64038.490886987725
PWY-7228	41405.165915214915	39267.14355635057	42894.92390544288	38549.04321552518	42978.72555175062	69869.55543702297	63109.77928015943	65726.84844777278	60884.05258637818	52749.765213640254
PWY-7229	54000.84153419741	43302.904687266084	55821.94648846579	46084.5993791651	52420.29723514585	88473.6166644537	82716.80197031159	79054.05580926857	72535.75483780673	64636.890890998
PWY-7234	32249.90618381661	29890.234751054304	33704.79613744349	30137.521446504055	34448.69961863638	50792.961653798906	44002.739992008756	42959.99093409984	37293.913874015816	31289.189411676853
PWY-7237	38756.48	42005.11	21655.63	50930.04	42296.28	8943.94	3955.1999999999994	6914.96	4650.06	6342.85
PWY-7242	40458.01484399403	42632.01148405306	35661.78092124364	50179.37919834621	43180.07243665009	46626.797185855175	46139.938136601544	38984.1383178054	35772.38315623855	30814.934937686838
PWY-7254	33940.3473317559	35788.183328718784	30115.85263515685	39063.10047429323	36793.26172736011	22701.87606432092	17640.753525536526	24295.72302245835	21870.73912505624	12418.526317759644
PWY-7255	0.0	0.0	0.0	0.0	0.0	0.0	3.999153849626867	0.0	0.0	0.0
PWY-7295	22.35217910996156	84.25168020627977	187.98762582443152	79.78715347660062	168.38794164134117	126.78436588192167	0.0	154.0694918336063	0.0	0.0
PWY-7315	21318.455079701856	20942.84486388791	21025.476372046036	24099.64856368213	22684.006632109104	16999.05404516694	24464.179103273735	16537.957403644516	18583.149989380265	12019.476543545677
PWY-7323	24619.37576286547	21715.691704828292	34155.85607308278	13912.819801561225	21618.808401012822	47550.17140328968	45229.3635158414	45000.86208726578	44306.03896447063	33632.12297388093
PWY-7328	29525.23337741194	26420.536928274265	25728.265128912073	29984.740003870957	28561.873439021234	22895.233743337252	15959.749617192381	36895.469652299296	26919.40159331533	33120.205296698026
PWY-7332	11049.5079822655	12864.770158847676	15491.817819045302	6580.689474702844	9785.158285742122	37807.62939178698	38075.718238294874	25745.863772599725	29764.19724524271	13395.176321245943
PWY-7347	0.0	41.97796811733685	98.88980298484788	65.95295683688131	59.96028105752694	64.94779215612132	0.0	84.94840702635838	70.44894468896314	0.0
PWY-7371	694.5589671293036	959.3014692289225	1097.9375361480625	729.5343179843615	1004.9964969640356	1556.4677877314405	1094.3816017904596	1333.3300000000002	1236.6604613098043	913.9823921549961
PWY-7373	49.23539607465185	603.8848806211165	640.9056961839752	483.6632774308509	651.5019633871195	960.4815681636017	345.1003441033424	957.6737189179092	804.7613794717377	268.2718998219707
PWY-7374	406.573314710848	519.3323113137302	406.44544866148675	218.42115984187637	343.7423401176159	635.2451129728341	847.8181491816795	559.8104567068295	468.204397690057	698.3644685995802
PWY-7376	245.0550856126845	2142.566919963776	3552.2112040602788	2740.4824190838362	2986.394006335004	3337.325171016582	0.0	3221.031500602661	2201.4400369355412	0.0
PWY-7377	19850.19502655975	18203.91337779498	10456.079105099243	22261.90190934337	18810.9916639805	4826.610264564759	2555.0425515371526	5377.959938050794	3652.722736554892	4843.618744200324
PWY-7391	0.0	185.76093432985175	376.94390336764474	263.05811863126524	222.9494588367839	273.4555988820454	0.0	265.7498918098151	259.833752202926	0.0
PWY-7392	32036.086878046743	27226.976145350647	34475.824266313524	27686.054206295386	31937.54875236383	49643.94652519776	42482.892585566566	41402.545031590984	37709.95670249582	31014.38195580618
PWY-7400	40151.66726324484	32853.97916273166	40737.17613649377	32192.82138892758	33685.59408193595	53265.707661669476	53825.18345898643	56670.506916461374	49712.58692477267	50052.782469883925
PWY-7431	54.55105097322421	1081.0344932064438	1941.4540062205463	1360.2052933740374	1564.4473725799473	2241.7569278262454	7.989131522208784	1763.2093386323438	1126.3485458573375	5.994831238365045
PWY-7446	286.77474964524635	237.18260381408405	9484.396661275538	201.45058914947725	282.536848618177	970.7013685139129	1075.3698712811504	1115.876563479727	1131.6501587854004	517.7741361106329
