index,Bacteria,,condition
HB1,124085.0,2.0,HB
HB2,125606.0,223.0,HB
HB3,127838.0,0.0,HB
HB4,144925.0,76.0,HB
HB5,130788.0,110.0,HB
N1,121855.0,0.0,N
N2,112875.0,0.0,N
N3,133048.0,0.0,N
N4,120062.0,0.0,N
N5,110879.0,0.0,N
