# Constructed from biom file
#OTU ID	HB1	HB2	HB3	HB4	HB5	N1	N2	N3	N4	N5
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella_9	664.0	513.0	646.0	164.0	174.0	736.0	50.0	0.0	0.0	1001.0
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Lachnospiraceae NK4A136 group	2123.0	993.0	1702.0	1507.0	1285.0	2726.0	4919.0	2221.0	2668.0	2194.0
Bacteria;;;;;	131.0	435.0	8.0	341.0	115.0	2.0	2.0	73.0	0.0	1.0
Bacteria;Firmicutes;Clostridia;Oscillospirales;Ruminococcaceae;Negativibacillus	0.0	7.0	5.0	0.0	0.0	42.0	9.0	11.0	0.0	22.0
Bacteria;Firmicutes;Clostridia;Oscillospirales;Oscillospiraceae;Oscillibacter	217.0	176.0	114.0	137.0	94.0	771.0	419.0	200.0	185.0	409.0
Bacteria;Firmicutes;Clostridia;Oscillospirales;Ruminococcaceae;Harryflintia	0.0	0.0	0.0	0.0	4.0	0.0	11.0	0.0	4.0	0.0
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Roseburia	378.0	345.0	215.0	530.0	427.0	576.0	400.0	203.0	163.0	853.0
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Tannerellaceae;Parabacteroides	3161.0	5936.0	6573.0	1935.0	3462.0	30251.0	42405.0	17420.0	41714.0	5853.0
Bacteria;Firmicutes;Clostridia;Oscillospirales;Oscillospiraceae;	261.0	225.0	213.0	306.0	287.0	668.0	752.0	535.0	390.0	503.0
Bacteria;Firmicutes;Clostridia;Oscillospirales;Ruminococcaceae;	68.0	30.0	31.0	51.0	58.0	183.0	173.0	66.0	56.0	131.0
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Muribaculaceae;	6242.0	1917.0	7035.0	3815.0	6819.0	7872.0	6798.0	6255.0	4308.0	3852.0
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;	1610.0	774.0	1398.0	1188.0	955.0	2657.0	4307.0	2005.0	2021.0	1722.0
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Alloprevotella	616.0	356.0	641.0	399.0	108.0	200.0	20.0	0.0	0.0	668.0
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;p-2534-18B5 gut group;	12.0	3.0	13.0	7.0	9.0	0.0	0.0	0.0	0.0	2.0
Bacteria;Firmicutes;Clostridia;Oscillospirales;Oscillospiraceae;Pseudoflavonifractor	0.0	0.0	0.0	0.0	0.0	2.0	12.0	2.0	0.0	0.0
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Lachnospiraceae UCG-010	0.0	7.0	10.0	4.0	0.0	84.0	0.0	12.0	7.0	23.0
Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;;	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Beijerinckiaceae;Methylobacterium-Methylorubrum	0.0	3.0	3.0	0.0	3.0	4.0	0.0	0.0	0.0	0.0
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides	2697.0	3913.0	2812.0	1051.0	2568.0	6746.0	5140.0	6997.0	3532.0	6927.0
Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Enterobacter	1773.0	1005.0	67835.0	1113.0	1224.0	1143.0	0.0	3540.0	858.0	32.0
Bacteria;Deferribacterota;Deferribacteres;Deferribacterales;Deferribacteraceae;Mucispirillum	0.0	0.0	0.0	0.0	0.0	3.0	3.0	0.0	2.0	0.0
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Marinifilaceae;Odoribacter	21.0	69.0	24.0	24.0	6.0	5.0	17.0	0.0	0.0	124.0
Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus	34.0	5.0	50.0	40.0	71.0	102.0	47.0	91.0	48.0	19.0
Bacteria;Actinobacteriota;Coriobacteriia;Coriobacteriales;Eggerthellaceae;	0.0	0.0	0.0	0.0	0.0	0.0	12.0	0.0	5.0	0.0
Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Vibrionaceae;Vibrio	0.0	77.0	154.0	98.0	83.0	106.0	0.0	106.0	96.0	0.0
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Rikenellaceae;Alistipes	297.0	349.0	541.0	323.0	406.0	978.0	789.0	790.0	830.0	334.0
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;	459.0	212.0	422.0	47.0	83.0	248.0	32.0	0.0	0.0	468.0
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella	410.0	200.0	421.0	145.0	44.0	341.0	4.0	101.0	0.0	347.0
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;[Eubacterium] oxidoreducens group	0.0	0.0	0.0	0.0	0.0	2.0	0.0	2.0	0.0	0.0
Bacteria;Firmicutes;Bacilli;Erysipelotrichales;;	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0
Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;	14.0	34.0	10.0	17.0	675.0	73.0	5.0	12.0	17.0	7.0
Bacteria;Firmicutes;Clostridia;Oscillospirales;Oscillospiraceae;Colidextribacter	283.0	271.0	280.0	350.0	222.0	757.0	382.0	334.0	186.0	681.0
Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Sutterellaceae;Parasutterella	4279.0	2029.0	3188.0	326.0	404.0	2414.0	4022.0	2266.0	2894.0	2497.0
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Marvinbryantia	125.0	19.0	26.0	28.0	18.0	80.0	295.0	138.0	24.0	94.0
Bacteria;Firmicutes;Clostridia;Clostridia UCG-014;;	184.0	94.0	126.0	122.0	154.0	386.0	554.0	249.0	242.0	223.0
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Lachnospiraceae UCG-006	149.0	10.0	32.0	18.0	37.0	65.0	597.0	308.0	226.0	157.0
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;[Eubacterium] fissicatena group	0.0	0.0	0.0	0.0	25.0	13.0	0.0	0.0	0.0	0.0
Bacteria;Firmicutes;Bacilli;RF39;;	4.0	0.0	2.0	3.0	6.0	25.0	27.0	4.0	0.0	10.0
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;;	12.0	40.0	5.0	29.0	6.0	55.0	34.0	14.0	19.0	94.0
Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;	0.0	0.0	3.0	0.0	0.0	0.0	3.0	0.0	0.0	3.0
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Lachnospiraceae UCG-001	177.0	176.0	33.0	458.0	65.0	345.0	296.0	42.0	26.0	592.0
Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus	1303.0	629.0	1866.0	2420.0	4670.0	4596.0	944.0	1186.0	998.0	614.0
Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae;	3.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Firmicutes;Negativicutes;Veillonellales-Selenomonadales;Selenomonadaceae;Megamonas	0.0	0.0	0.0	0.0	0.0	0.0	10.0	0.0	4.0	0.0
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Rikenellaceae;Rikenellaceae RC9 gut group	281.0	188.0	232.0	119.0	92.0	177.0	74.0	2.0	0.0	297.0
Bacteria;Firmicutes;Clostridia;Monoglobales;Monoglobaceae;Monoglobus	28.0	53.0	15.0	48.0	30.0	88.0	52.0	10.0	7.0	95.0
Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas	19.0	1306.0	2233.0	1615.0	1754.0	2147.0	0.0	2231.0	1440.0	0.0
Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Candidatus Arthromitus	72.0	35.0	105.0	55.0	57.0	97.0	16.0	75.0	69.0	9.0
Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;	46.0	0.0	0.0	3.0	0.0	3.0	3.0	0.0	3.0	4.0
