sample	input_tax_filter	filtered_tax_filter	lost	retained_percent	lost_percent
HB1	124090	124087.0	3.0	99.99758239987106	0.002417600128936215
HB2	125829	125829.0	0.0	100.0	0.0
HB3	127838	127838.0	0.0	100.0	0.0
HB4	145001	145001.0	0.0	100.0	0.0
HB5	130898	130898.0	0.0	100.0	0.0
N1	121855	121855.0	0.0	100.0	0.0
N2	112880	112875.0	5.0	99.99557051736357	0.004429482636425064
N3	133048	133048.0	0.0	100.0	0.0
N4	120062	120062.0	0.0	100.0	0.0
N5	110879	110879.0	0.0	100.0	0.0
