# Constructed from biom file
#OTU ID	HB1	HB2	HB3	HB4	HB5	N1	N2	N3	N4	N5
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales	17937.0	14523.0	22673.0	8375.0	14074.0	48967.0	55799.0	32876.0	50556.0	21507.0
Bacteria;Firmicutes;Clostridia;Lachnospirales	7436.0	2717.0	5300.0	4562.0	3394.0	8559.0	15233.0	7397.0	6887.0	7171.0
Bacteria;;;	131.0	435.0	8.0	341.0	115.0	2.0	2.0	73.0	0.0	1.0
Bacteria;Firmicutes;Clostridia;Oscillospirales	1960.0	1073.0	1046.0	1629.0	2281.0	4844.0	3991.0	2430.0	1414.0	3371.0
Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales	178.0	1308.0	2537.0	1620.0	2004.0	2156.0	3.0	3752.0	1440.0	0.0
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales	0.0	3.0	3.0	0.0	3.0	4.0	0.0	4.0	0.0	3.0
Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales	84681.0	96404.0	83406.0	120575.0	94277.0	20372.0	20414.0	20133.0	22028.0	15626.0
Bacteria;Deferribacterota;Deferribacteres;Deferribacterales	0.0	0.0	0.0	0.0	0.0	3.0	3.0	0.0	2.0	0.0
Bacteria;Firmicutes;Bacilli;Lactobacillales	3644.0	3640.0	4611.0	5166.0	10409.0	15900.0	8666.0	8505.0	6116.0	5743.0
Bacteria;Actinobacteriota;Coriobacteriia;Coriobacteriales	231.0	56.0	96.0	86.0	83.0	216.0	389.0	302.0	100.0	220.0
Bacteria;Firmicutes;Bacilli;Erysipelotrichales	262.0	124.0	300.0	545.0	299.0	344.0	331.0	135.0	429.0	382.0
Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales	4362.0	2262.0	3794.0	549.0	769.0	2786.0	4040.0	2706.0	3156.0	2505.0
Bacteria;Firmicutes;Clostridia;Clostridia UCG-014	184.0	94.0	126.0	122.0	154.0	386.0	554.0	249.0	242.0	223.0
Bacteria;Firmicutes;Bacilli;RF39	4.0	0.0	2.0	3.0	6.0	25.0	27.0	4.0	0.0	10.0
