# Constructed from biom file
#OTU ID	HB1	HB2	HB3	HB4	HB5	N1	N2	N3	N4	N5
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae	3182.0	2080.0	3078.0	998.0	702.0	2845.0	403.0	221.0	104.0	3926.0
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae	7436.0	2717.0	5300.0	4562.0	3394.0	8553.0	15226.0	7392.0	6879.0	7171.0
Bacteria;;;;	131.0	435.0	8.0	341.0	115.0	2.0	2.0	73.0	0.0	1.0
Bacteria;Firmicutes;Clostridia;Oscillospirales;Ruminococcaceae	415.0	200.0	184.0	375.0	469.0	909.0	888.0	420.0	240.0	673.0
Bacteria;Firmicutes;Clostridia;Oscillospirales;Oscillospiraceae	1326.0	819.0	741.0	1069.0	1037.0	3284.0	2520.0	1780.0	948.0	2379.0
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Tannerellaceae	3161.0	5936.0	6573.0	1935.0	3462.0	30251.0	42408.0	17420.0	41714.0	5853.0
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Muribaculaceae	6421.0	1917.0	7183.0	3876.0	6819.0	7872.0	6930.0	6330.0	4350.0	3892.0
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;p-2534-18B5 gut group	12.0	3.0	13.0	7.0	9.0	0.0	0.0	0.0	0.0	2.0
Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Beijerinckiaceae	0.0	3.0	3.0	0.0	3.0	4.0	0.0	0.0	0.0	0.0
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae	2697.0	3913.0	2812.0	1051.0	2568.0	6746.0	5140.0	6997.0	3532.0	6927.0
Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae	83246.0	95942.0	81902.0	119138.0	92844.0	19520.0	19987.0	19965.0	21884.0	14756.0
Bacteria;Deferribacterota;Deferribacteres;Deferribacterales;Deferribacteraceae	0.0	0.0	0.0	0.0	0.0	3.0	3.0	0.0	2.0	0.0
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Marinifilaceae	21.0	69.0	24.0	24.0	6.0	11.0	17.0	0.0	0.0	124.0
Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae	37.0	5.0	57.0	40.0	71.0	102.0	47.0	92.0	48.0	19.0
Bacteria;Actinobacteriota;Coriobacteriia;Coriobacteriales;Eggerthellaceae	204.0	38.0	59.0	68.0	48.0	174.0	357.0	209.0	75.0	187.0
Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Vibrionaceae	0.0	77.0	154.0	98.0	83.0	106.0	0.0	106.0	96.0	0.0
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Rikenellaceae	584.0	543.0	777.0	448.0	502.0	1158.0	863.0	792.0	830.0	644.0
Bacteria;Firmicutes;Bacilli;Erysipelotrichales;	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0
Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Sutterellaceae	4279.0	2029.0	3188.0	326.0	404.0	2418.0	4022.0	2266.0	2894.0	2499.0
Bacteria;Firmicutes;Clostridia;Clostridia UCG-014;	184.0	94.0	126.0	122.0	154.0	386.0	554.0	249.0	242.0	223.0
Bacteria;Firmicutes;Bacilli;RF39;	4.0	0.0	2.0	3.0	6.0	25.0	27.0	4.0	0.0	10.0
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;	12.0	40.0	5.0	29.0	6.0	55.0	34.0	14.0	19.0	94.0
Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae	38.0	14.0	76.0	14.0	29.0	30.0	11.0	31.0	21.0	3.0
Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae	3563.0	3395.0	4324.0	4891.0	9709.0	14072.0	7366.0	7429.0	5306.0	5249.0
Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae	19.0	0.0	23.0	0.0	0.0	2.0	0.0	0.0	2.0	0.0
Bacteria;Firmicutes;Negativicutes;Veillonellales-Selenomonadales;Selenomonadaceae	263.0	76.0	151.0	104.0	178.0	54.0	109.0	0.0	4.0	178.0
Bacteria;Firmicutes;Clostridia;Monoglobales;Monoglobaceae	28.0	53.0	15.0	48.0	30.0	88.0	52.0	10.0	7.0	95.0
Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae	19.0	1306.0	2233.0	1615.0	1754.0	2147.0	0.0	2231.0	1440.0	0.0
Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae	135.0	142.0	266.0	186.0	340.0	837.0	41.0	333.0	202.0	55.0
Bacteria;Firmicutes;Clostridia;;	2.0	0.0	0.0	0.0	1.0	1.0	8.0	8.0	0.0	10.0
Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Anaerovoracaceae	143.0	44.0	58.0	77.0	104.0	334.0	284.0	278.0	93.0	193.0
Bacteria;Spirochaetota;Spirochaetia;Spirochaetales;Spirochaetaceae	4.0	0.0	0.0	2.0	0.0	6.0	0.0	0.0	0.0	3.0
Bacteria;Firmicutes;Bacilli;Staphylococcales;Staphylococcaceae	22.0	226.0	314.0	340.0	466.0	849.0	21.0	509.0	394.0	12.0
Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Oxalobacteraceae	0.0	9.0	19.0	13.0	18.0	15.0	0.0	14.0	14.0	0.0
Bacteria;Firmicutes;Clostridia;Oscillospirales;UCG-010	23.0	23.0	32.0	34.0	59.0	115.0	45.0	54.0	57.0	35.0
Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;	0.0	2.0	39.0	3.0	2.0	1.0	1.0	3.0	1.0	0.0
