# Constructed from biom file
#OTU ID	HB1	HB2	HB3	HB4	HB5	N1	N2	N3	N4	N5
Bacteria;Bacteroidota	0.14455180639390106	0.11545828068251357	0.17747461631126896	0.057785808373735356	0.10757994774557289	0.40205161872717576	0.49434330011074196	0.2471889844266731	0.42118238909896555	0.19397721840925694
Bacteria;Firmicutes	0.1268545456010702	0.06569232847753698	0.10627512946072373	0.08827525327411535	0.13883329004262862	0.26623445898814163	0.2611738648947951	0.15237357946004448	0.13195682230847394	0.15876766565355027
Bacteria;	0.001055710912504936	0.0034570726938940944	6.2579201802281e-05	0.0023517079192557295	0.0008785466546471298	1.6412949817405934e-05	1.7718715393134e-05	0.0005486741627081955	0.0	9.018840357506832e-06
Bacteria;Proteobacteria	0.7192131327213971	0.7946975657439859	0.7027566138393905	0.8465389893862801	0.7416156091002154	0.2080259324607115	0.2167264673311185	0.2000931994468162	0.22193533341107094	0.16361980176588894
Bacteria;Deferribacterota	0.0	0.0	0.0	0.0	0.0	2.46194247261089e-05	2.6578073089700997e-05	0.0	1.665806000233213e-05	0.0
Bacteria;Actinobacteriota	0.0019180091387494258	0.00044504843875418226	0.0007509504216273721	0.0005930993579354626	0.0006570001069535058	0.0018464568544581674	0.0034640088593576967	0.0025930491251277736	0.0008578900901201046	0.0020112013997240236
Bacteria;Spirochaetota	3.223544771007438e-05	0.0	0.0	1.3793008324080523e-05	0.0	4.92388494522178e-05	0.0	0.0	0.0	2.7056521072520496e-05
Bacteria;Cyanobacteria	0.0	0.0	0.0	0.0	0.0	0.0	0.00012403100775193799	1.5032168841320426e-05	0.0	2.7056521072520496e-05
Bacteria;Desulfobacterota	0.0007655918831142666	0.0021219273776315476	0.0007196608207262317	0.0004344797622085365	0.000924383871411328	0.0006401050428788314	0.0012137320044296788	0.0006839636822800793	0.000258199930036148	0.003156594125127391
Bacteria;Campylobacterota	0.00012088292891277893	0.002288820542164366	0.002229384064206261	0.0016758505113757835	0.0022689422298278047	0.003774978458003365	0.0010011074197120709	0.0039008478143226504	0.003273308790458263	0.0008387521532481353
Bacteria;Verrucomicrobiota	0.005270495700597162	0.014050814994953469	0.009731065880254698	0.0018068840904545485	0.006401931274732998	0.11733617824463502	0.021661129568106313	0.3925726053755036	0.22050274025087038	0.4773311447614066
;	1.611772385503719e-05	0.0017722464614675472	0.0	0.0005241343163150599	0.0008403489740102981	0.0	0.0	0.0	0.0	0.0
Bacteria;Elusimicrobiota	0.0	1.5894587098363652e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.411304214504099e-05
Bacteria;Patescibacteria	0.0002014715481879649	0.0	0.0	0.0	0.0	0.0	0.00024806201550387597	3.006433768264085e-05	0.0	0.00018037680715013663
Bacteria;Bdellovibrionota	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.665806000233213e-05	0.0
