# Constructed from biom file
#OTU ID	HB1	HB2	HB3	HB4	HB5	N1	N2	N3	N4	N5
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella_9	0.005351084319872347	0.004076961590730277	0.005053270545534192	0.001131026682574603	0.0013292792861617443	0.006039965532805384	0.00044296788482834997	0.0	0.0	0.009027859197864339
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Lachnospiraceae NK4A136 group	0.01710896387212198	0.007891662494337554	0.013313725183435285	0.010393031772194675	0.009816803923665756	0.022370850601124287	0.04357918050941307	0.016693223498286332	0.02222185204311106	0.01978733574436999
Bacteria;;;;;	0.001055710912504936	0.0034570726938940944	6.2579201802281e-05	0.0023517079192557295	0.0008785466546471298	1.6412949817405934e-05	1.7718715393134e-05	0.0005486741627081955	0.0	9.018840357506832e-06
Bacteria;Firmicutes;Clostridia;Oscillospirales;Ruminococcaceae;Negativibacillus	0.0	5.563105484427278e-05	3.9112001126425634e-05	0.0	0.0	0.0003446719461655246	7.973421926910299e-05	8.267692862726235e-05	0.0	0.0001984144878651503
Bacteria;Firmicutes;Clostridia;Oscillospirales;Oscillospiraceae;Oscillibacter	0.0017487730382715354	0.0013987236646560014	0.0008917536256825044	0.0009448210701995159	0.0007181163959724366	0.006327192154609987	0.0037120708748615725	0.0015032168841320427	0.001540870550215722	0.003688705706220294
Bacteria;Firmicutes;Clostridia;Oscillospirales;Ruminococcaceae;Harryflintia	0.0	0.0	0.0	0.0	3.055814450946538e-05	0.0	9.745293466223699e-05	0.0	3.331612000466426e-05	0.0
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Roseburia	0.003046249808602029	0.00274181627446773	0.001681816048436302	0.0036551472058813385	0.0032620819263854297	0.004726929547412909	0.0035437430786267998	0.0015257651373940231	0.0013576318901900686	0.007693070824953328
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Tannerellaceae;Parabacteroides	0.02547406255288628	0.04717513450794332	0.051416636680799134	0.013344735553547907	0.02644807407294229	0.24825407246317344	0.3756810631229236	0.1309301906079009	0.3474371574686412	0.05278727261248749
Bacteria;Firmicutes;Clostridia;Oscillospirales;Oscillospiraceae;	0.0021033629630823536	0.0017881410485659109	0.001666171247985732	0.0021103302735843202	0.0021925468685541414	0.005481925239013582	0.006662236987818383	0.004021105165053214	0.003248321700454765	0.004536476699825936
Bacteria;Firmicutes;Clostridia;Oscillospirales;Ruminococcaceae;	0.0005480026110712646	0.00023841880647545478	0.0002424944069838389	0.00035172171226405334	0.0004430930953872481	0.0015017849082926429	0.0015326688815060908	0.0004960615717635741	0.0004664256800652996	0.001181468086833395
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Muribaculaceae;	0.05030341615157107	0.015234961733781562	0.055030585584880866	0.0263101633781836	0.052093996852511114	0.06460137048130975	0.06022591362126246	0.04701310805122963	0.03588146124502341	0.034740573057116315
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;	0.012974767703304938	0.006151205207066733	0.010935715514948607	0.008193046944503832	0.007295757001634861	0.02180460383242378	0.038157253599114066	0.015069749263423728	0.016832969632356615	0.015530443095626765
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Alloprevotella	0.004964258947351455	0.00282923650350873	0.005014158544407766	0.0027517051606540644	0.0008250699017555654	0.0016412949817405933	0.00017718715393134	0.0	0.0	0.006024585358814564
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;p-2534-18B5 gut group;	9.670634313022315e-05	2.384188064754548e-05	0.00010169120292870665	4.8275529134281836e-05	6.875582514629712e-05	0.0	0.0	0.0	0.0	1.8037680715013664e-05
Bacteria;Firmicutes;Clostridia;Oscillospirales;Oscillospiraceae;Pseudoflavonifractor	0.0	0.0	0.0	0.0	0.0	1.6412949817405934e-05	0.00010631229235880399	1.5032168841320426e-05	0.0	0.0
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Lachnospiraceae UCG-010	0.0	5.563105484427278e-05	7.822400225285127e-05	2.7586016648161046e-05	0.0	0.0006893438923310493	0.0	9.019301304792256e-05	5.830321000816245e-05	0.00020743332822265712
Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;;	0.0	1.5894587098363652e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Beijerinckiaceae;Methylobacterium-Methylorubrum	0.0	2.384188064754548e-05	2.346720067585538e-05	0.0	2.291860838209904e-05	3.282589963481187e-05	0.0	0.0	0.0	0.0
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides	0.021734750618517654	0.031097759657948486	0.021996589433501777	0.007248225874304315	0.019618328775076778	0.05536087973411021	0.04553709856035437	0.05259004269135951	0.029418133964118538	0.06247350715644982
Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Enterobacter	0.01428836219749047	0.007987030016927736	0.5306325192822166	0.007675809132350811	0.009350792219896409	0.00938000082064749	0.0	0.026606938849137153	0.007146307741000483	0.0002886028914402186
Bacteria;Deferribacterota;Deferribacteres;Deferribacterales;Deferribacteraceae;Mucispirillum	0.0	0.0	0.0	0.0	0.0	2.46194247261089e-05	2.6578073089700997e-05	0.0	1.665806000233213e-05	0.0
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Marinifilaceae;Odoribacter	0.0001692361004778905	0.000548363254893546	0.00018773760540684303	0.00016551609988896629	4.583721676419808e-05	4.103237454351483e-05	0.00015060908084163897	0.0	0.0	0.001118336204330847
Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus	0.0002740013055356323	3.973646774590913e-05	0.0003911200112642563	0.00027586016648161046	0.0005424070650430105	0.0008370604406877026	0.00041638981173864893	0.0006839636822800793	0.00039979344005597106	0.0001713579667926298
Bacteria;Actinobacteriota;Coriobacteriia;Coriobacteriales;Eggerthellaceae;	0.0	0.0	0.0	0.0	0.0	0.0	0.00010631229235880399	0.0	4.164515000583032e-05	0.0
Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Vibrionaceae;Vibrio	0.0	0.0006119416032870006	0.0012046496346939095	0.0006758574078799456	0.0006340814985714067	0.0008698863403225145	0.0	0.0007967049485899826	0.0007995868801119421	0.0
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Rikenellaceae;Alistipes	0.002393481992473023	0.0027736054486644573	0.004231918521879254	0.0022275708443390044	0.0031016516677107365	0.008025932460711501	0.0069900332225913625	0.005937706692321568	0.006913094900967833	0.003012292679407282
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;	0.0036990176247310353	0.0016848262324265471	0.0033010528950703235	0.0003241356956158923	0.0006340814985714067	0.0020352057773583357	0.000283499446290144	0.0	0.0	0.0042208172873131975
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella	0.0033041333902826243	0.0015894587098363652	0.003293230494845038	0.000999993103495838	0.0003361395896041192	0.0027984079438677116	3.5437430786268e-05	0.0007591245264866815	0.0	0.0031295376040548707
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;[Eubacterium] oxidoreducens group	0.0	0.0	0.0	0.0	0.0	1.6412949817405934e-05	0.0	1.5032168841320426e-05	0.0	0.0
Bacteria;Firmicutes;Bacilli;Erysipelotrichales;;	0.0	1.5894587098363652e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.607536143002733e-05
Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;	0.00011282406698526035	0.0002702079806721821	7.822400225285127e-05	0.00011724057075468445	0.005156686885972284	0.0005990726683353165	4.4296788482835e-05	9.019301304792256e-05	0.00014159351001982308	6.313188250254782e-05
Bacteria;Firmicutes;Clostridia;Oscillospirales;Oscillospiraceae;Colidextribacter	0.0022806579254877626	0.002153716551828275	0.0021902720630798352	0.0024137764567140917	0.001695977020275329	0.0062123015058881455	0.0033842746400885937	0.002510372196500511	0.001549199580216888	0.006141830283462152
Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Sutterellaceae;Parasutterella	0.034483870187852074	0.016125058611289926	0.024937811918208982	0.002248260356825125	0.003086372595456004	0.01981043042960896	0.03563233665559247	0.01703144729721604	0.02410421282337459	0.02252004437269456
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Marvinbryantia	0.0010073577409398244	0.0001509985774344547	0.0002033824058574133	0.00019310211653712734	0.00013751165029259423	0.0006565179926962373	0.0026135105204872647	0.0010372196500511093	0.00019989672002798553	0.0008477709936056422
Bacteria;Firmicutes;Clostridia;Clostridia UCG-014;;	0.0014828305946634217	0.0007470455936230917	0.000985622428385926	0.000841373507768912	0.0011764885636144173	0.0031676993147593453	0.004908084163898117	0.001871505020744393	0.0020156252602821874	0.0020112013997240236
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Lachnospiraceae UCG-006	0.0012007704272002707	7.947293549181826e-05	0.000250316807209124	0.0001241370749167247	0.0002826628367125548	0.0005334208690656928	0.0052890365448504985	0.0023149540015633455	0.0018823607802635305	0.0014159579361285727
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;[Eubacterium] fissicatena group	0.0	0.0	0.0	0.0	0.00019098840318415865	0.00010668417381313856	0.0	0.0	0.0	0.0
Bacteria;Firmicutes;Bacilli;RF39;;	3.223544771007438e-05	0.0	1.564480045057025e-05	2.0689512486120786e-05	4.583721676419808e-05	0.00020516187271757416	0.00023920265780730897	3.006433768264085e-05	0.0	9.018840357506831e-05
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;;	9.670634313022315e-05	0.00031789174196727304	3.9112001126425634e-05	0.00019999862069916758	4.583721676419808e-05	0.00045135611997866316	0.00030121816168327795	0.00010522518188924298	0.00015825157002215522	0.0008477709936056422
Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;	0.0	0.0	2.346720067585538e-05	0.0	0.0	0.0	2.6578073089700997e-05	0.0	0.0	2.7056521072520496e-05
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Lachnospiraceae UCG-001	0.0014264185611707915	0.0013987236646560014	0.00025813920743440917	0.0031585989062144397	0.0004965698482788125	0.0028312338435025233	0.0026223698781838315	0.00031567554566772895	0.00021655478003031767	0.005339153491644044
Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus	0.01050069709155673	0.004998847642435369	0.014596598820382046	0.016689540072137434	0.035676633714800836	0.037716958680398836	0.008363233665559248	0.008914076122903012	0.008312371941163733	0.005537567979509194
Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae;	2.4176585782555787e-05	0.0	7.040160202756614e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Firmicutes;Negativicutes;Veillonellales-Selenomonadales;Selenomonadaceae;Megamonas	0.0	0.0	0.0	0.0	0.0	0.0	8.859357696567e-05	0.0	3.331612000466426e-05	0.0
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Rikenellaceae;Rikenellaceae RC9 gut group	0.0022645402016327255	0.0014940911872461833	0.0018147968522661494	0.0008206839952827912	0.0007028373237177039	0.001452546058840425	0.0006555924695459579	1.5032168841320426e-05	0.0	0.002678595586179529
Bacteria;Firmicutes;Clostridia;Monoglobales;Monoglobaceae;Monoglobus	0.0002256481339705207	0.0004212065581066368	0.0001173360033792769	0.00033103219977793257	0.0002291860838209904	0.0007221697919658611	0.0004606866002214839	7.516084420660213e-05	5.830321000816245e-05	0.000856789833963149
Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas	0.0001531183766228533	0.010379165375231465	0.017467419703061687	0.011137854221695023	0.01339974636740057	0.01761930162898527	0.0	0.016768384342492934	0.011993803201679133	0.0
Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Candidatus Arthromitus	0.0005802380587813389	0.0002781552742213639	0.0008213520236549383	0.0003793077289122144	0.00043545355925988177	0.0007960280661441877	0.000141749723145072	0.000563706331549516	0.0005747030700804584	8.116956321756149e-05
Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;	0.0003707076486658554	0.0	0.0	2.0689512486120786e-05	0.0	2.46194247261089e-05	2.6578073089700997e-05	0.0	2.498709000349819e-05	3.607536143002733e-05
Bacteria;Firmicutes;Clostridia;;;	1.611772385503719e-05	0.0	0.0	0.0	7.639536127366346e-06	8.206474908702967e-06	7.0874861572536e-05	6.01286753652817e-05	0.0	9.018840357506831e-05
Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Anaerovoracaceae;Family XIII AD3011 group	5.641203349263017e-05	0.0	3.9112001126425634e-05	0.00010344756243060392	6.875582514629712e-05	0.0005170079192482869	0.00025692137320044295	0.0001202573507305634	5.830321000816245e-05	0.0002525275300101913
Bacteria;Spirochaetota;Spirochaetia;Spirochaetales;Spirochaetaceae;Treponema	3.223544771007438e-05	0.0	0.0	1.3793008324080523e-05	0.0	4.92388494522178e-05	0.0	0.0	0.0	2.7056521072520496e-05
Bacteria;Firmicutes;Clostridia;Oscillospirales;Oscillospiraceae;UCG-007	0.0	3.973646774590913e-05	0.0	0.0	0.0	7.38582741783267e-05	0.0	0.0	0.0	7.215072286005466e-05
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotellaceae Ga6A1 group	0.0001531183766228533	0.001184146738828092	0.00014080320405513227	3.448252081020131e-05	7.639536127366347e-05	9.84776989044356e-05	8.859357696567e-06	7.516084420660213e-06	0.0	0.0022727477700917216
Bacteria;Firmicutes;Clostridia;Oscillospirales;Ruminococcaceae;[Eubacterium] siraeum group	0.00014505951469533473	0.0003894173839099095	7.040160202756614e-05	0.0	8.40348974010298e-05	0.00010668417381313856	0.0006821705426356589	0.0002630629547231074	0.00024987090003498195	0.0009199217164656969
Bacteria;Firmicutes;Bacilli;Staphylococcales;Staphylococcaceae;Staphylococcus	0.00014505951469533473	0.0017960883421150927	0.00245623367073953	0.002344811415093689	0.0035600238353527174	0.006967297197488819	0.00018604651162790697	0.0038256869701160483	0.003281637820459429	0.00010822608429008198
Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Oxalobacteraceae;Massilia	0.0	6.357834839345461e-05	0.0001486256042804174	8.965455410652341e-05	0.00013751165029259423	0.0001230971236305445	0.0	0.00010522518188924298	0.0001166064200163249	0.0
Bacteria;Firmicutes;Clostridia;Oscillospirales;UCG-010;	0.0001853538243329277	0.000182787751631182	0.000250316807209124	0.0002344811415093689	0.00045073263151461444	0.0009437446145008412	0.00039867109634551497	0.0004058685587156515	0.00047475471006646567	0.0003156594125127391
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Lachnospiraceae FCS020 group	0.0	0.0	0.0	2.0689512486120786e-05	0.0	0.0003200525214394157	0.0010188261351052048	0.00021045036377848595	0.0004664256800652996	0.0
Bacteria;Actinobacteriota;Coriobacteriia;Coriobacteriales;Eggerthellaceae;Asaccharobacter	3.223544771007438e-05	0.0	0.0	0.0	0.0	0.0	2.6578073089700997e-05	1.5032168841320426e-05	0.0	4.509420178753416e-05
Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;;	0.0	1.5894587098363652e-05	0.00030507360878611993	2.0689512486120786e-05	1.527907225473269e-05	8.206474908702967e-06	8.859357696567e-06	2.254825326198064e-05	8.329030001166064e-06	0.0
Bacteria;Firmicutes;Clostridia;Oscillospirales;Ruminococcaceae;Incertae Sedis	0.0006285912303464504	7.152564194263644e-05	0.00015644800450570254	0.0002965496789677313	0.00035141866185885195	0.0015346108079274548	0.0014529346622369878	0.00044344898081895257	0.00024987090003498195	0.0007034695478855329
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotellaceae UCG-003	0.0031026618420946592	0.002368293477656184	0.003019446486960059	0.0007034434245281067	0.0007410350043545356	0.0068031676993147595	0.0005581395348837209	0.0	0.0	0.0045635332208984565
Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Succinivibrionaceae;Anaerobiospirillum	0.011443583937076406	0.0027100271002710027	0.009738888280479982	0.008965455410652341	0.007876361747314703	0.00567067416191375	0.0037740863787375416	0.0	2.498709000349819e-05	0.007792278068885903
Bacteria;Cyanobacteria;Vampirivibrionia;Gastranaerophilales;;	0.0	0.0	0.0	0.0	0.0	0.0	0.00012403100775193799	1.5032168841320426e-05	0.0	2.7056521072520496e-05
Bacteria;Desulfobacterota;Desulfovibrionia;Desulfovibrionales;Desulfovibrionaceae;	0.0004512962679410414	0.002098085496984002	0.0006883712198250911	0.0003379287039399728	0.0004430930953872481	0.0005498338188830988	0.000141749723145072	0.0	0.0	0.0028679912336871723
